Player,year,grupos,x,y
E. Haaland,21,5,-0.2890709783857409,5.7523440158389
J. Bellingham,21,1,-0.3414411120669041,0.69276819355568
J. Musiala,21,3,1.7311374103586892,4.424203889540488
F. Wirtz,21,3,1.5249812993832927,2.410400134287442
C. Nkunku,21,3,1.732684448993925,3.9078239374032377
J. Kimmich,21,1,1.4667082883953548,-3.3316302788484626
L. Sané,21,3,3.2135776041123743,4.277601319931876
A. Davies,21,4,2.126158053344346,1.4052125517317517
L. Goretzka,21,4,1.2979464935606293,0.4642403951882936
K. Coman,21,3,3.437519397678699,4.054640795097947
D. Upamecano,21,2,-0.8708408951160006,-6.01819726792945
J. Sancho,21,3,3.32792077139864,4.270696475597782
S. Gnabry,21,3,3.344535381932221,4.200515983926045
M. Diaby,21,3,3.357528286633173,4.0061201083810385
L. Hernández,21,4,2.8010751878078897,-1.1876981436330576
D. Alaba,21,1,1.0165296373985488,-3.6017099419889984
Dani Olmo,21,3,2.1399188851037416,2.4798800878748657
R. Lewandowski,21,5,0.03807866597290996,5.516391939777208
N. Schlotterbeck,21,2,-0.5560191763733833,-4.741714455939652
J. Brandt,21,3,1.3364440850816237,1.7839505808823959
N. Süle,21,2,-0.8411297078420322,-5.73481420391849
B. Pavard,21,4,3.704728201816779,0.28348558302298116
E. N'Dicka,21,2,-1.6035991583172522,-4.375247710926938
M. Thuram,21,3,0.8359499595339106,4.4009339634125295
M. Akanji,21,2,-0.7656504441357574,-5.850940358086701
D. Kamada,21,3,0.9715660692692747,2.7630653214290604
E. Tapsoba,21,2,-1.0042740207455805,-6.093994527912357
Matheus Cunha,21,3,1.3466664212690462,3.506568978205082
P. Schick,21,5,-2.279986909217708,6.05137492965552
N. González,21,5,0.26304804393484166,4.960190519463914
G. Reyna,21,3,1.8763952584597998,4.276410847735693
L. Bailey,21,3,3.375706506512201,4.022017526833765
M. Guendouzi,21,1,0.5182834249307777,-0.7877115487426951
F. Kostić,21,3,4.043266225308926,2.137640553997728
André Silva,21,5,-0.31346943486025136,5.782961694211123
D. Sow,21,1,-0.4506810498458176,-1.3754317082295535
R. Sessegnon,21,4,3.2128402335636834,0.5076181254980792
X. Schlager,21,1,0.2681595189072777,-2.6121599580630788
M. Lacroix,21,2,-1.1438819361670998,-5.274269278490676
Raphaël Guerreiro,21,1,1.4513731674456403,-3.050066876643936
M. Sabitzer,21,1,1.7597150968895976,-2.788189271541812
N. Mukiele,21,4,3.043372715029728,-0.7404386346176992
D. Zakaria,21,1,-0.7989615625760605,-1.0726739208175873
P. Lienhart,21,2,-2.1632082538639517,-5.670397287136421
R. Bensebaini,21,1,-0.9636618137736929,-2.7571118371854535
N. Elvedi,21,2,-3.20157202174492,-5.416904216191328
C. Baumgartner,21,3,-0.3500936084197719,3.4178955339267674
M. Ginter,21,2,-0.8240495770693964,-5.220700743685673
B. Embolo,21,5,-0.4835594737707588,4.455060399238428
T. Awoniyi,21,5,-1.917638408515733,5.922991788917195
J. Tah,21,2,-1.1942477424908744,-6.122816411965051
T. Adams,21,1,0.4628629443362322,-2.281131331072807
M. Dahoud,21,1,0.8371937959505742,-2.580638469581135
M. Niakhaté,21,2,-1.6747884544728828,-4.4867392262537935
S. Kalajdžić,21,5,-1.579935345182955,6.024312995615719
T. Müller,21,3,2.276823371964402,3.1159043575250718
A. Haidara,21,4,1.5397685789563131,0.6540011970143036
M. Arnold,21,1,0.27113752622871956,-2.4833206053631143
S. Özcan,21,1,-1.0480663604074931,-0.6185080813488464
K. Mavropanos,21,2,-1.369604222163435,-4.6113291578401245
Tuta,21,2,-1.6149211008636954,-4.418956851504045
S. Becker,21,3,3.106041529353391,3.285150717422422
F. Neuhaus,21,1,0.7884651375570821,-2.917645941068242
R. Doan,21,3,1.33936082443886,3.465996755243913
M. Thiaw,21,2,-3.3374412939912657,-4.570368899106622
B. Sosa,21,4,4.072885889739754,1.5187789891167787
B. Santamaria,21,1,-0.8592023720787992,-1.9600370035781394
E. Can,21,1,0.7687345628725452,-3.2572924591145065
A. Harit,21,3,1.3164766300988409,2.992858003841343
W. Weghorst,21,5,-1.110319771112977,5.900302919187599
Angeliño,21,4,3.972819392566399,0.9454599593085429
J. Hofmann,21,4,1.6602093178449988,0.9830116134640046
R. Baku,21,4,3.272758185628205,0.823652459921671
J. St. Juste,21,2,-2.715793223229413,-4.5446994734281745
E. Skhiri,21,1,-1.197848074935203,-2.2017103299159126
V. Grifo,21,3,2.3190962107314625,2.422935939962424
O. Mangala,21,1,-0.23868362634734314,-0.5809003002807294
J. Sargent,21,5,-1.5411488567776046,5.620484080956707
D. Lukébakio,21,3,0.25899792989390974,3.539197380655426
A. Sørloth,21,5,-1.7918768713353748,5.6442810923448015
J. Burkardt,21,5,-0.49127432181110287,4.301040636478046
E. Demirović,21,5,-2.459413619709429,5.345631787733055
L. Klostermann,21,1,0.5420553796838196,-3.447191118216807
L. Tousart,21,1,-1.790844012548097,-1.3715754694333404
J. Córdoba,21,5,-1.5990311580112664,5.0363415215455785
R. Andrich,21,1,0.201420268567241,-2.1375825964313373
W. Orban,21,2,-1.471977750557492,-6.126343547690844
F. Uduokhai,21,2,-3.0757814218733874,-5.721744359747025
Y. Poulsen,21,5,-0.34274091133428186,5.273238251130255
C. Günter,21,4,3.03419383957039,0.13113890109245968
O. Kabak,21,2,-2.763333920570261,-4.584124441436255
N. Füllkrug,21,5,-2.5678382788112137,6.170989717087277
D. Samassékou,21,1,-1.1415641921610629,-2.057799010805387
C. Richards,21,2,-1.567822891583691,-4.720851290559924
