ID,Player,Team,Minutes played,league_id
506,C. Castillo,Dorados,2021,263
507,E. Olaguez,Alebrijes de Oaxaca,2908,263
508,F. Morales,Alebrijes de Oaxaca II,1855,263
509,Junior Moreira,Cancún,2091,263
510,L. Gutiérrez,CA La Paz,1388,263
511,M. Arreola,Alebrijes de Oaxaca,2883,263
512,O. Soto,Atlante,1512,263
513,J. Ruiz,Atlético Morelia,1707,263
514,M. Chávez,Tapatío,2179,263
515,M. García,Venados,2244,263
516,E. Franco,Club Atlético Mitre,1230,263
517,D. Zago,Puebla U20,1793,263
518,A. Carreón,Universidad Guadalajara,2358,263
519,B. Navarro,Cimarrones de Sonora,1691,263
520,A. Bravo,Tepatitlán de Morelos,1126,263
521,Jonathan Tovar,Durango,1622,263
522,E. Carballo,Monterrey U23,1425,263
523,K. Nieto,Pachuca,3913,673
524,C. Montero,Guadalajara,3629,673
525,Andrea Hernández,FC Juárez,3534,673
526,A. Kaci,América,3409,673
527,Y. Franco,Monterrey,3260,673
528,M. Díaz,Pumas UNAM,3247,673
529,V. González,Atlético de San Luis,3177,673
530,D. García,Monterrey,3172,673
531,Lia Moran,Querétaro,3143,673
532,M. Castillo,FC Juárez,3116,673
533,V. Razo,Atlas,3088,673
534,F. Rosales,Puebla,2831,673
535,J. Orejel,América,2826,673
536,J. De La Rosa,Tijuana,2802,673
537,N. Antonio,Tigres UANL,2778,673
538,D. Fuentes,Necaxa,2770,673
539,Y. Arista,NA,2732,673
540,Viridiana López,Puebla,2726,673
541,N. Gomez Junco,Toluca,2712,673
542,B. Díaz,León,2663,673
543,O. Trasviña,Mazatlán,2589,673
544,Z. Arce,Atlético de San Luis,2577,673
545,M. Perarnau,Atlético de San Luis,2556,673
546,D. Delgado,Guadalajara,2541,673
547,V. Perez,Tijuana,2518,673
548,J. García,Atlético de San Luis,2424,673
549,Z. Hernández,Toluca,2322,673
550,K. García,Atlas,2163,673
551,E. González,América,2148,673
552,S. Martínez,Puebla,2127,673
553,N. Martinez,Tijuana,2049,673
554,F. Delgado,Querétaro,2021,673
555,C. Hernández,Pumas UNAM,1985,673
556,L. Bravo,León,1960,673
557,R. Ruvalcaba,Mazatlán,1821,673
558,C. Fonseca,Puebla,1813,673
559,M. Arciniega,Querétaro,1754,673
560,M. Castro,Puebla,1700,673
561,S. Rios,Pumas UNAM,1698,673
562,C. Anguiano,Querétaro,1664,673
563,V. Valdez,Monterrey,1628,673
564,I. Hernández,Tijuana,1566,673
565,B. López,Santos Laguna,1543,673
566,L. Rangel,Tigres UANL,1532,673
567,A. Franco,Atlas,1526,673
568,N. Zaragoza,NA,1427,673
569,G. Sánchez,Pachuca,1419,673
570,R. Hernández,Necaxa,1257,673
571,N. Teja,NA,1250,673
572,B. Figueroa,Querétaro,1188,673
573,R. Velázquez,Necaxa,1167,673
574,D. García,Cruz Azul,1138,673
575,A. Delgado,Tigres UANL,1079,673
576,K. Becerril,Toluca,997,673
577,Y. Rodriguez,Pumas UNAM,994,673
578,A. Hernández Ponce,León,938,673
579,S. Bejarano,Atlas,916,673
729,A. Tchouaméni,Real Madrid,1939,140
730,F. de Jong,Barcelona,2237,140
731,J. Koundé,Barcelona,2277,140
732,E. Camavinga,Real Madrid,1869,140
733,D. Alaba,Real Madrid,1804,140
734,Mikel Merino,Real Sociedad,2320,140
735,R. de Paul,Atlético Madrid,1742,140
736,Martín Zubimendi,Real Sociedad,2936,140
737,Brais Méndez,Real Sociedad,2375,140
738,G. Rodríguez,Real Betis,2632,140
739,Reinildo Mandava,Atlético Madrid,2019,140
740,J. Foyth,Villarreal,1859,140
741,Hugo Guillamón,Valencia,1799,140
742,G. Kondogbia,Atlético Madrid,1103,140
743,T. Kroos,Real Madrid,1931,140
744,Koke,Atlético Madrid,2245,140
745,William Carvalho,Real Betis,2347,140
746,Fran Beltrán,Celta de Vigo,2851,140
747,Aritz Elustondo,Real Sociedad,1398,140
748,M. Arambarri,Getafe,966,140
749,Joan Jordán,Sevilla,1684,140
750,Jon Moncayola,Osasuna,2291,140
751,Dani Ceballos,Real Madrid,1372,140
752,Aleix García,Girona,2478,140
753,L. Modrić,Real Madrid,1634,140
754,E. Lamela,Sevilla,1611,140
755,P. Gueye,Sevilla,961,140
756,Nico González,Valencia,1146,140
757,Moi Gómez,Osasuna,2598,140
758,N. Maksimović,Getafe,1732,140
759,R. Tapia,Celta de Vigo,1288,140
760,Vinicius Souza,Espanyol,2521,140
761,Dani Parejo,Villarreal,3185,140
762,Lucas Torró,Osasuna,2190,140
763,Nacho Fernández,Real Madrid,1485,140
764,Ilaix Moriba,Valencia,1099,140
765,Luis Milla,Getafe,1866,140
766,Samú Costa,Almería,1874,140
767,Monchu,Real Valladolid,1967,140
768,G. Álvarez,Getafe,1196,140
769,Mikel Vesga,Athletic Bilbao,2459,140
770,Oriol Romeu,Girona,2880,140
771,Santi Comesaña,Rayo Vallecano,2192,140
