ID,Player,Team,Minutes played,league_id
1923,D. Hancko,Feyenoord,2655,88
1924,J. Branthwaite,PSV,1895,88
1925,G. Trauner,Feyenoord,1734,88
1926,A. Obispo,PSV,1852,88
1927,M. Hilgers,Twente,2111,88
1928,André Ramalho,PSV,1755,88
1929,P. Chatzidiakos,AZ,2798,88
1930,M. Sagnan,Utrecht,1937,88
1931,S. Beukema,AZ,2118,88
1932,P. Bochniewicz,Heerenveen,2946,88
1933,N. Kasanwirjo,Feyenoord,1368,88
1934,P. Sandler,NEC,1463,88
1935,R. Flamingo,Vitesse,2602,88
1936,Rodrigo Guth,Fortuna Sittard,2968,88
1937,R. Pröpper,Twente,2474,88
1938,M. Meulensteen,Vitesse,2630,88
1939,M. Dekker,AZ,913,88
1940,M. van der Hoorn,Utrecht,2034,88
1941,X. Mbuyamba,Volendam,2418,88
1942,R. Balker,Groningen,2639,88
1943,Julio Pleguezuelo,Twente,1061,88
1944,S. van Beek,Heerenveen,1446,88
1945,S. Adewoye,RKC Waalwijk,2944,88
1946,Iván Márquez,NEC,2866,88
1947,C. Verdonk,NEC,1041,88
1948,José Fontán,Go Ahead Eagles,1198,88
1949,N. Viergever,Utrecht,1510,88
1950,J. van Aken,Heerenveen,1078,88
1951,M. Araujo,Emmen,2663,88
1952,Ximo Navarro,Fortuna Sittard,1293,88
1953,R. El Yaakoubi,Excelsior,2844,88
1954,J. Kramer,NEC,1042,88
1955,B. Benamar,Volendam,2115,88
1956,E. Cornelisse,Vitesse,1441,88
1957,P. Koopmeiners,Excelsior,1370,88
1958,J. Idzes,Go Ahead Eagles,2833,88
1959,L. Bergsma,Cambuur,1890,88
1960,M. Tol,Cambuur,1785,88
1961,D. Mirani,Volendam,2528,88
1962,D. Van den Buijs,RKC Waalwijk,1917,88
1963,J. Amofa,Go Ahead Eagles,2309,88
1964,G. Nauber,Go Ahead Eagles,1250,88
1965,M. te Wierik,Emmen,2343,88
1966,D. Abels,Sparta Rotterdam,1307,88
1967,J. Gaari,RKC Waalwijk,2885,88
1968,D. Siovas,Fortuna Sittard,1856,88
1969,M. van der Maarel,Utrecht,2185,88
1970,M. Eerdhuijzen,Sparta Rotterdam,1157,88
1971,B. Vriends,Sparta Rotterdam,2407,88
1972,N. Isimat-Mirin,Vitesse,945,88
1973,J. Dirksen,Emmen,1354,88
1974,S. Nieuwpoort,Excelsior,1672,88
1975,S. van Ottele,Heerenveen,1112,88
1976,J. Veldmate,Emmen,1995,88
1977,D. Schmidt,Cambuur,1663,88
1978,S. Seymor,Excelsior,1167,88
1979,A. Auassar,Sparta Rotterdam,1973,88
1980,T. Blokzijl,Groningen,1189,88
1981,F. Smand,Cambuur,1786,88
2085,D. Campillo,Juárez,3276,263
2086,J. Sánchez,Pumas UNAM,1535,263
2087,R. Martínez,Tapatío,3198,263
2088,D. Zamora,Celaya,4033,263
2089,L. Hernández,Dorados,2476,263
2090,H. Marín,Cancún,2791,263
2091,J. Portales,Atlante,4336,263
2092,M. Trejo,Atlético Morelia,3218,263
2093,L. López,Correcaminos UAT,2973,263
2094,S. Román,Puebla U20,1453,263
2095,J. García Sancho,NA,2117,263
2096,E. Monreal,Pachuca Premier,1234,263
2097,Elbis,Atlante,2455,263
2098,H. Torres,Mineros de Zacatecas,2933,263
2099,Omar Mireles,Mineros de Zacatecas,1601,263
2100,G. Martínez,Tapatío,1428,263
2101,V. Milke,Atlético Morelia,3816,263
2102,J. Aguayo,Tapatío,1978,263
2103,S. Valencia,Pumas Tabasco,908,263
2104,S. Ceballos,Pumas Tabasco,2374,263
2105,J. Saavedra,Cimarrones de Sonora,3771,263
2106,B. Vázquez,NA,2634,263
2107,R. Noya,Municipal Grecia,2608,263
2108,B. Galindo,Cancún,2783,263
2109,P. Santos,Tlaxcala,1800,263
2110,J. De Alba,Universidad Guadalajara,3601,263
2111,G. Sánchez,Monterrey,1093,263
2112,C. Villanueva,Tepatitlán de Morelos,3030,263
2113,A. Mota,Universidad Guadalajara,1460,263
2114,D. Guillén,Atlético de San Luis U23,2301,263
2115,Oscar Mazatán,Mineros de Zacatecas,1605,263
2116,B. Salazar,Tlaxcala,2194,263
2117,J. Reyes,Cimarrones de Sonora,2182,263
2118,V. Torres,Correcaminos UAT,1817,263
2119,E. Reyes,Alebrijes de Oaxaca,3256,263
2120,E. García,Cancún,1543,263
2121,A. Justo,CA La Paz,2384,263
2122,A. Mendoza,Durango,1675,263
2123,A. Ledesma,Universidad Guadalajara,4269,263
2124,O. León,Dorados,1678,263
2125,M. Hernández,NA,1666,263
2126,A. Grijalva,Monterrey,1043,263
2127,R. Melgarejo,Cerro Porteño,1483,263
2128,F. Rabago,Universidad Guadalajara,1111,263
2129,H. Aguayo,Cancún,1535,263
2130,K. Álvarez,CA La Paz,1146,263
2131,J. Esqueda,Alebrijes de Oaxaca,1724,263
2132,F. Santillán,Tlaxcala,2413,263
2133,L. Robles,Tepatitlán de Morelos,1733,263
2134,J. Ocon,NA,1137,263
2135,D. Escalante,Universidad Guadalajara,3207,263
2136,J. Barragán,Venados,1281,263
2137,A. Gutiérrez,Necaxa,1340,263
2138,L. López,Celaya,3721,263
2139,O. Tirado,Dorados,2210,263
2140,A. Mendoza,Mineros de Zacatecas,1690,263
2141,P. Ruiz,CA La Paz,2276,263
2142,F. Agüero,CA La Paz,986,263
2143,A. Freyfeld,Pumas UNAM U23,2237,263
2144,A. Andrade,Necaxa,1617,263
2145,U. Rivera,Tlaxcala,2109,263
2146,J. Múñoz,Celaya,2619,263
2147,J. Moreno,Mazatlán FC U23,1188,263
2148,C. Ferral,Tigres UANL,3805,673
2149,G. Espinoza,Tigres UANL,3678,673
2150,R. Bernal,Monterrey,3597,673
2151,Andrea Pereira,América,3358,673
2152,J. Dávila,Atlético de San Luis,3286,673
2153,K. De León,Necaxa,3210,673
2154,D. Delgado,Pumas UNAM,3151,673
2155,D. Rodriguez,Guadalajara,3077,673
2156,D. Martínez,Puebla,3019,673
2157,Paola González,FC Juárez,3005,673
2158,Kimberly Rodriguez,América,2972,673
2159,P. Jardón,Toluca,2930,673
2160,Y. Toraya,Tijuana,2901,673
2161,A. Mejia,FC Juárez,2879,673
2162,A. Lozada,FC Juárez,2827,673
2163,M. Cadena,Monterrey,2822,673
2164,M. Peraza,Cruz Azul,2811,673
2165,S. Cruz,Necaxa,2780,673
2166,P. Padilla,Santos Laguna,2707,673
2167,N. Miramontes,Santos Laguna,2657,673
2168,M. Alvarado,Tijuana,2633,673
2169,J. Farias,Pachuca,2594,673
2170,S. Pulido,Santos Laguna,2592,673
2171,N. Colin,Toluca,2590,673
2172,A. Willett,Tijuana,2582,673
2173,L. Sánchez,Puebla,2538,673
2174,L. Muñoz,Necaxa,2377,673
2175,J. Singano,FC Juárez,2372,673
2176,Victoria López,Tijuana,2355,673
2177,M. Perez Limon,Atlas,2340,673
2178,M. Sandoval,NA,2296,673
2179,J. Enrigue,Querétaro,2273,673
2180,C. Cid,Querétaro,2271,673
2181,K. García,Querétaro,2266,673
2182,A. Tovar,Santos Laguna,2178,673
2183,A. Camargo,Querétaro,2145,673
2184,V. del Campo,Monterrey,2129,673
2185,K. Díaz,Pachuca,2036,673
2186,N. Granados,América,2029,673
2187,N. Gaitán,NA,2007,673
2188,F. Grano,Necaxa,1945,673
2189,M. Gonzalez,Guadalajara,1876,673
2190,K. Gómez,León,1790,673
2191,B. Mora,Tijuana,1712,673
2192,M. Sosa,NA,1711,673
2193,D. Anguiano,Cruz Azul,1567,673
2194,Ana Mendoza,Pumas UNAM,1528,673
2195,K. Cano,Atlético de San Luis,1523,673
2196,D. Monroy,Toluca,1523,673
2197,Karina Rodríguez,América,1504,673
2198,S. Valera,Pumas UNAM,1471,673
2199,Maria Acosta,Necaxa,1461,673
2200,D. Ojeda,Querétaro,1373,673
2201,K. Hernández,Mazatlán,1371,673
2202,J. López,Toluca,1369,673
2203,M. Gordillo,NA,1293,673
2204,Yamanic Martínez,NA,1243,673
2205,S. Braun,León,1209,673
2206,S. López,Mazatlán,1188,673
2207,D. Cagigas,NA,1188,673
2208,Lesly González,Necaxa,1177,673
2209,Mariela García,Atlético de San Luis,1138,673
2210,M. Fong,Tijuana,1134,673
2211,K. Guzman,Guadalajara,1132,673
2212,A. Perez Murillo,América,1104,673
2213,V. Rios,NA,1101,673
2214,J. González,Puebla,1032,673
2215,Mitzi Martínez,León,1015,673
2216,M. Valera,NA,1008,673
2217,A. Escobedo,NA,969,673
2218,A. Martínez,Cruz Azul,944,673
2219,M. Yokoyama,Santos Laguna,931,673
2355,R. Araújo,Barcelona,1882,140
2356,Éder Militão,Real Madrid,2537,140
2357,Pau Torres,Villarreal,2948,140
2358,A. Rüdiger,Real Madrid,2354,140
2359,J. Giménez,Atlético Madrid,2246,140
2360,R. Le Normand,Real Sociedad,2659,140
2361,A. Christensen,Barcelona,1481,140
2362,David García,Osasuna,2509,140
2363,Íñigo Martínez,Athletic Bilbao,1447,140
2364,Mario Hermoso,Atlético Madrid,1818,140
2365,Luiz Felipe,Real Betis,1630,140
2366,Igor Zubeldía,Real Sociedad,2419,140
2367,Yeray Álvarez,Athletic Bilbao,2401,140
2368,Dani Vivian,Athletic Bilbao,2200,140
2369,Eric García,Barcelona,1353,140
2370,Édgar González,Real Betis,1673,140
2371,L. Badé,Sevilla,1275,140
2372,Marcos Alonso,Barcelona,1024,140
2373,T. Nianzou,Sevilla,1435,140
2374,Domingos Duarte,Getafe,2883,140
2375,C. Montes,Espanyol,1326,140
2376,S. Bueno,Girona,3053,140
2377,Alejandro Catena,Rayo Vallecano,2921,140
2378,M. Diakhaby,Valencia,2308,140
2379,J. Aidoo,Celta de Vigo,3098,140
2380,S. Savić,Atlético Madrid,2006,140
2381,Jon Pacheco,Real Sociedad,1075,140
2382,Djené,Getafe,2699,140
2383,Unai Núñez,Celta de Vigo,2948,140
2384,A. Witsel,Atlético Madrid,2020,140
2385,G. Pezzella,Real Betis,2359,140
2386,M. Valjent,Mallorca,2412,140
2387,O. Alderete,Getafe,1757,140
2388,F. Lejeune,Rayo Vallecano,2621,140
2389,N. Gudelj,Sevilla,2744,140
2390,A. Mandi,Villarreal,1126,140
2391,E. Cömert,Valencia,1755,140
2392,S. Babić,Almería,2799,140
2393,M. Hongla,Real Valladolid,1142,140
2394,L. Cabrera,Espanyol,2534,140
2395,Antonio Raíllo,Mallorca,2929,140
2396,Víctor Chust,Cádiz,1066,140
2397,Rodrigo Ely,Almería,2962,140
2398,Joaquín Fernández,Real Valladolid,2239,140
2399,Javi Sánchez,Real Valladolid,2196,140
2400,José Copete,Mallorca,1939,140
2401,Raúl Albiol,Villarreal,2317,140
2402,Gabriel Paulista,Valencia,1285,140
2403,Fali,Cádiz,1740,140
2404,Unai García,Osasuna,1848,140
2405,E. Roco,Elche,1664,140
2406,Chumi,Almería,1634,140
2407,J. El Yamiq,Real Valladolid,1584,140
2408,S. Mitrović,Getafe,1370,140
2409,Sergi Gómez,Espanyol,2329,140
2410,Fernando Calero,Espanyol,1530,140
2411,David López,Girona,1464,140
2412,C. Özkacar,Valencia,1416,140
2413,M. Nastasić,Mallorca,988,140
2414,Diego González,Elche,1053,140
2415,Bernardo Espinosa,Girona,1161,140
2416,Juanpe,Girona,1459,140
2417,César de la Hoz,Almería,1614,140
2418,Pedro Bigas,Elche,1883,140
2419,Aridane Hernández,Osasuna,1461,140
2420,Luis Hernández,Cádiz,2992,140
2551,C. Montes,Espanyol,1077,262
2552,Samir,Tigres UANL,2285,262
2553,F. Torres,Santos Laguna,2895,262
2554,J. Escobar,Cruz Azul,2994,262
2555,V. Guzmán,Monterrey,3287,262
2556,Dória,Santos Laguna,1750,262
2557,S. Vegas,Monterrey,2073,262
2558,A. Frías,León,1269,262
2559,I. Reyes,América,3619,262
2560,C. Salcedo,Cruz Azul,3098,262
2561,L. Abram,Atlanta United,1277,262
2562,J. Orozco,Guadalajara,3628,262
2563,S. Cáceres,América,3127,262
2564,I. Lichnovsky,Tigres UANL,3008,262
2565,L. Olivas,Guadalajara,1494,262
2566,V. Huerta,Toluca,4449,262
2567,G. Sepúlveda,Guadalajara,3940,262
2568,J. Barreiro,León,2968,262
2569,N. Díaz,Club Tijuana,2956,262
2570,E. Gularte,Puebla,1765,262
2571,N. Freire,Pumas UNAM,3180,262
2572,Unai Bilbao,Atlético de San Luis,1757,262
2573,A. Peña,Necaxa,3473,262
2574,N. Araújo,América,2493,262
2575,D. Reyes,Tigres UANL,2881,262
2576,M. Tapias,Minnesota United,1121,262
2577,H. Nervo,Atlas,3462,262
2578,A. Santamaría,Atlas,2143,262
2579,F. Ambríz,León,2508,262
2580,G. Pizarro,Tigres UANL,4076,262
2581,A. Mosquera,Toluca,4141,262
2582,L. López,Club Tijuana,2488,262
2583,A. Ortíz,Pumas UNAM,2138,262
2584,L. León,Emelec,1357,262
2585,R. Funes Mori,River Plate,2337,262
2586,H. Ortega,Toluca,1043,262
2587,F. Formiliano,Necaxa,1295,262
2588,G. Silva,Puebla,3451,262
2589,O. Murillo,Pachuca,1966,262
2590,E. Aguilera,Tigre,1140,262
2591,H. Moreno,Monterrey,2748,262
2592,A. Briseño,Guadalajara,976,262
2593,D. De Buen,Puebla,3741,262
2594,Lucas Maia,Puebla,1827,262
2595,M. Barbieri,Querétaro,1240,262
2596,K. Balanta,Querétaro,2237,262
2597,J. Domínguez,Atlético de San Luis,3113,262
2598,G. Cabral,Pachuca,3674,262
2599,H. Rodríguez,Santos Laguna,2996,262
2600,J. Silva,Cruz Azul,1397,262
2601,F. Almada,Mazatlán,1243,262
2602,R. Godínez,Club Tijuana,1282,262
2603,R. González,Atlético de San Luis,1191,262
2604,A. Aldrete,Pumas UNAM,1588,262
2605,E. Martínez,Pachuca,1191,262
2606,J. García,Atlético de San Luis,1416,262
2607,J. Segovia,Necaxa,2455,262
2608,N. Vidrio,Mazatlán,2533,262
2609,O. Alanís,NA,1913,262
2610,J. Molina,Pumas UNAM,992,262
2611,G. Aguirre,Atlas,1911,262
2612,E. Orona,Puebla,1250,262
2613,R. Fernández,Querétaro,1546,262
2614,J. Galindo,Pumas UNAM,1073,262
2615,Alejandro Arribas,NA,2405,262
2616,J. Castillo,Pachuca,1486,262
2617,R. Guerrero,Cruz Azul,959,262
2618,P. Bellón,León,2046,262
2751,Marquinhos,PSG,2593,61
2752,B. Badiashile,Chelsea,907,61
2753,J. Todibo,Nice,2764,61
2754,A. Disasi,Monaco,3189,61
2755,A. Theate,Rennes,3134,61
2756,C. Mbemba,Olympique Marseille,2732,61
2757,C. Lukeba,Olympique Lyonnais,2812,61
2758,Tiago Djaló,Lille,2145,61
2759,K. Danso,Lens,3287,61
2760,F. Medina,Lens,2688,61
2761,G. Maripán,Monaco,2126,61
2762,Danilo Pereira,PSG,2125,61
2763,L. Balerdi,Olympique Marseille,2474,61
2764,S. Gigot,Olympique Marseille,1975,61
2765,W. Omari,Rennes,1062,61
2766,J. Rodon,Rennes,1310,61
2767,A. Djiku,Strasbourg,2812,61
2768,A. Rouault,Toulouse,3274,61
2769,S. Diomandé,Olympique Lyonnais,1900,61
2770,G. Nyamsi,Strasbourg,1510,61
2771,C. Wooh,Rennes,1079,61
2772,Sergio Ramos,PSG,2403,61
2773,E. Agbadou,Reims,2317,61
2774,I. Touré,Auxerre,1390,61
2775,B. Chardonnet,Brest,2286,61
2776,M. Talbi,Lorient,3257,61
2777,M. Estève,Montpellier,1493,61
2778,R. Nicolaisen,Toulouse,2939,61
2779,J. Gradit,Lens,2627,61
2780,Andrei Girotto,Nantes,2954,61
2781,J. Castelletto,Nantes,2361,61
2782,L. Brassier,Brest,2930,61
2783,B. Kouyaté,Montpellier,1063,61
2784,J. Porozo,Troyes,1639,61
2785,L. Perrin,Strasbourg,1649,61
2786,C. Jullien,Montpellier,2702,61
2787,J. Laporte,Lorient,1639,61
2788,E. Palmer-Brown,Troyes,2920,61
2789,M. Wieteska,Clermont,3045,61
2790,I. Doukouré,Strasbourg,2088,61
2791,D. Lovren,Olympique Lyonnais,1510,61
2792,C. Hountondji,Angers SCO,3121,61
2793,Alexsandro,Lille,1441,61
2794,C. Hérelle,Brest,1147,61
2795,A. Dari,Brest,1420,61
2796,O. Gonzalez,Ajaccio,2483,61
2797,Y. Salmier,Troyes,2637,61
2798,Jubal,Auxerre,3039,61
2799,C. Vidal,Ajaccio,1658,61
2800,M. Blažič,Angers SCO,1886,61
2801,M. Caufriez,Clermont,2003,61
2802,B. Meïté,Lorient,1325,61
2803,M. Le Marchand,Strasbourg,1976,61
2804,N. Pallois,Nantes,2181,61
2805,Y. Abdelhamid,Reims,3289,61
2806,J. Jeanvier,Auxerre,1786,61
2807,Dante,Nice,3119,61
2808,José Fonte,Lille,2498,61
2809,F. Ogier,Clermont,1725,61
2810,A. Rami,Troyes,1400,61
2811,C. Avinel,Ajaccio,1756,61
2946,Rúben Dias,Manchester City,2073,39
2947,W. Fofana,Chelsea,1239,39
2948,C. Romero,Tottenham Hotspur,2494,39
2949,W. Saliba,Arsenal,2647,39
2950,L. Martínez,Manchester United,2276,39
2951,Gabriel Magalhaes,Arsenal,3450,39
2952,V. van Dijk,Liverpool,2894,39
2953,S. Botman,Newcastle United,3036,39
2954,R. Varane,Manchester United,1772,39
2955,B. Badiashile,Chelsea,910,39
2956,I. Konaté,Liverpool,1492,39
2957,N. Aké,Manchester City,1961,39
2958,M. Guéhi,Crystal Palace,3341,39
2959,T. Souček,West Ham United,2802,39
2960,N. Aguerd,West Ham United,1438,39
2961,J. Andersen,Crystal Palace,2739,39
2962,J. Gomez,Liverpool,1526,39
2963,M. Akanji,Manchester City,2333,39
2964,K. Zouma,West Ham United,2104,39
2965,K. Koulibaly,Chelsea,1976,39
2966,E. Dier,Tottenham Hotspur,3102,39
2967,T. Mings,Aston Villa,3194,39
2968,M. Kilman,Wolverhampton Wanderers,3457,39
2969,T. Chalobah,Chelsea,1450,39
2970,J. Tarkowski,Everton,3361,39
2971,E. Konsa,Aston Villa,3375,39
2972,N. Collins,Wolverhampton Wanderers,1808,39
2973,A. Webster,Brighton,2058,39
2974,W. Faes,Leicester City,2642,39
2975,A. Bella-Kotchap,Southampton,2027,39
2976,M. Salisu,Southampton,2156,39
2977,C. Coady,Everton,2140,39
2978,R. Koch,Leeds United,3190,39
2979,I. Diop,Fulham,1840,39
2980,L. Dunk,Brighton,3163,39
2981,M. Senesi,Bournemouth,2515,39
2982,J. Matip,Liverpool,1093,39
2983,L. Colwill,Brighton,918,39
2984,L. Kelly,Bournemouth,1932,39
2985,D. Amartey,Leicester City,1761,39
2986,H. Souttar,Leicester City,987,39
2987,T. Adarabioyo,Fulham,1904,39
2988,V. Lindelöf,Manchester United,1012,39
2989,D. Ćaleta-Car,Southampton,1052,39
2990,J. Bednarek,Southampton,1543,39
2991,E. Pinnock,Brentford,2692,39
2992,M. Wöber,Leeds United,1130,39
2993,C. Lenglet,Tottenham Hotspur,1905,39
2994,S. McKenna,Nottingham Forest,1707,39
2995,M. Keane,Everton,1022,39
2996,F. Schär,Newcastle United,3128,39
2997,J. Worrall,Nottingham Forest,2133,39
2998,C. Mepham,Bournemouth,2316,39
2999,L. Cooper,Leeds United,1479,39
3000,J. Stephens,Bournemouth,1349,39
3001,Lyanco,Southampton,974,39
3002,S. Cook,Nottingham Forest,1034,39
3003,Felipe,Nottingham Forest,1280,39
3004,Thiago Silva,Chelsea,2286,39
3005,C. Dawson,Wolverhampton Wanderers,2136,39
3006,B. Mee,Brentford,3313,39
3007,M. Zanka Jørgensen,Brentford,1121,39
3008,T. Ream,Fulham,3177,39
3009,A. Ogbonna,West Ham United,1060,39
3010,Gonçalo Inácio,Sporting CP,2613,94
3011,J. St. Juste,Sporting CP,1030,94
3012,S. Coates,Sporting CP,2799,94
3013,I. Bamba,Vitória Guimarães,2573,94
3014,André Amaro,Vitória Guimarães,2590,94
3015,Vitor Tormena,Sporting Braga,2594,94
3016,Fábio Cardoso,Porto,1363,94
3017,Paulo Oliveira,Sporting Braga,1636,94
3018,Tomás Araújo,Gil Vicente,2074,94
3019,S. Niakaté,Sporting Braga,2336,94
3020,N. Otamendi,Benfica,3026,94
3021,Lucas Cunha,Red Bull Bragantino,1495,94
3022,Filipe Relvas,Portimonense,3157,94
3023,Riccieli,Famalicão,2860,94
3024,E. Mihaj,Famalicão,2453,94
3025,Mikel Villanueva,Vitória Guimarães,2815,94
3026,Pedrão,Portimonense,2840,94
3027,Pepe,Porto,2208,94
3028,Bruno Wilson,Vizela,2264,94
3029,Ygor Nogueira,Santa Clara,1108,94
3030,Pedro Álvaro,Estoril,2837,94
3031,M. Ndiaye,Estoril,1568,94
3032,K. Boateng,Santa Clara,2548,94
3033,Bernardo Vital,Estoril,2506,94
3034,Anderson,Vizela,2970,94
3035,Ivanildo Fernandes,Vizela,1652,94
3036,J. Park,Portimonense,1314,94
3037,João Basso,Arouca,3106,94
3038,Nélson Monte,Chaves,2869,94
3039,R. Abascal,Boavista,2518,94
3040,E. Ferigra,Paços de Ferreira,1292,94
3041,Josué Sá,Rio Ave,1449,94
3042,João Nunes,Casa Pia AC,1816,94
3043,N. Galović,Arouca,1459,94
3044,J. Opoku,Arouca,2107,94
3045,Maracás,Paços de Ferreira,1566,94
3046,Patrick William,Rio Ave,2102,94
3047,Léo Andrade,Khimki,1276,94
3048,Adriano,Santa Clara,2376,94
3049,C. Tassano,Khimki,1162,94
3050,Matheus Costa,Marítimo,1242,94
3051,Iván Marcano,Porto,2400,94
3052,V. Sasso,Boavista,2153,94
3053,N. Zolotić,Casa Pia AC,2411,94
3054,Nuno Lima,Paços de Ferreira,2692,94
3055,R. Pantalon,Rio Ave,1979,94
3056,Carlos Ponck,Chaves,1973,94
3057,M. Tounkara,Vitória Guimarães,1172,94
3058,Ítalo,Santa Clara,1165,94
3059,Mexer,Estoril,1072,94
3060,Fernando Varela,Casa Pia AC,2213,94
3061,M. Mosquera,Marítimo,1772,94
3062,Renê,Marítimo,1175,94
3063,Aderllan Santos,Rio Ave,3104,94
3064,Zainadine Júnior,Marítimo,2328,94
3065,Rúben Fernandes,Gil Vicente,2420,94
3066,Steven Vitória,Chaves,2919,94
3067,Vasco Fernandes,Casa Pia AC,2718,94
3068,O. Diomandé,Sporting CP,952,94
3069,António Silva,Benfica,2931,94
3226,M. Škriniar,Internazionale,1900,135
3227,A. Bastoni,Internazionale,2074,135
3228,Min-Jae Kim,Napoli,3115,135
3229,F. Tomori,Milan,2646,135
3230,Bremer,Juventus,2564,135
3231,P. Kalulu,Milan,2712,135
3232,Ibañez,Roma,2915,135
3233,G. Scalvini,Atalanta,2130,135
3234,M. Demiral,Atalanta,1652,135
3235,A. Rrahmani,Napoli,2247,135
3236,J. Kiwior,Arsenal,1561,135
3237,P. Schuurs,Torino,2193,135
3238,N. Milenković,Fiorentina,2175,135
3239,G. Mancini,Roma,2937,135
3240,A. Romagnoli,Lazio,2790,135
3241,N. Casale,Lazio,2319,135
3242,M. Thiaw,Milan,1201,135
3243,B. Djimsiti,Atalanta,1573,135
3244,Danilo,Juventus,3162,135
3245,Igor,Fiorentina,1933,135
3246,Rodrigo Becão,Udinese,2515,135
3247,J. Bijol,Udinese,2563,135
3248,S. de Vrij,Internazionale,1832,135
3249,L. Martínez Quarta,Fiorentina,2123,135
3250,S. Posch,Bologna,2409,135
3251,C. Okoli,Atalanta,920,135
3252,E. Ampadu,Spezia,2467,135
3253,J. Lucumí,Bologna,2764,135
3254,F. Daniliuc,Salernitana,2041,135
3255,C. Smalling,Roma,2838,135
3256,N. Pérez,Udinese,2627,135
3257,F. Baschirotto,Lecce,3146,135
3258,Rafael Tolói,Atalanta,2596,135
3259,A. Buongiorno,Torino,2512,135
3260,Patric,Lazio,1438,135
3261,I. Hien,Hellas Verona,2364,135
3262,M. Erlić,Sassuolo,2135,135
3263,F. Gatti,Juventus,1200,135
3264,G. Ferrari,Sassuolo,2216,135
3265,S. Kjær,Milan,974,135
3266,Pablo Marí,Monza,2401,135
3267,E. Ebosse,Udinese,1031,135
3268,K. Günter,Sampdoria,1617,135
3269,Alex Sandro,Juventus,1864,135
3270,K. De Winter,Empoli,1120,135
3271,F. Acerbi,Internazionale,2376,135
3272,S. Umtiti,Lecce,1803,135
3273,D. Nikolaou,Spezia,2804,135
3274,Ruan,Sassuolo,1543,135
3275,J. Vásquez,Cremonese,1668,135
3276,A. Ismajli,Empoli,2024,135
3277,P. Dawidowicz,Hellas Verona,1628,135
3278,A. Soumaoro,Bologna,2022,135
3279,E. Aiwu,Cremonese,1698,135
3280,R. Rodríguez,Torino,2519,135
3281,O. Colley,Beşiktaş,1517,135
3282,L. Pirola,Salernitana,1663,135
3283,D. Bronn,Salernitana,1645,135
3284,S. Luperto,Empoli,2916,135
3285,D. Coppola,Hellas Verona,1181,135
3286,G. Magnani,Hellas Verona,1339,135
3287,K. Djidji,Torino,2409,135
3288,A. Izzo,Monza,2301,135
3289,B. Amione,Sampdoria,2043,135
3290,M. Caldara,Spezia,1373,135
3291,B. Nuytinck,Sampdoria,1735,135
3292,J. Murillo,Sampdoria,1151,135
3293,A. Ferrari,Cremonese,1866,135
3294,L. Lochoshvili,Cremonese,1775,135
3295,N. Gyömbér,Salernitana,1707,135
3296,L. Caldirola,Monza,2275,135
3297,M. Bianchetti,Cremonese,2120,135
3298,F. Fazio,Salernitana,1180,135
3420,J. Musiala,Bayern München,2126,78
3421,F. Wirtz,Bayer Leverkusen,960,78
3422,A. Davies,Bayern München,2164,78
3423,L. Sané,Bayern München,1928,78
3424,K. Coman,Bayern München,1257,78
3425,S. Gnabry,Bayern München,1827,78
3426,M. Diaby,Bayer Leverkusen,2582,78
3427,Dani Olmo,RB Leipzig,1185,78
3428,D. Szoboszlai,RB Leipzig,2375,78
3429,J. Brandt,Borussia Dortmund,2302,78
3430,J. Frimpong,Bayer Leverkusen,2572,78
3431,K. Adeyemi,Borussia Dortmund,1240,78
3432,J. Lindstrøm,Eintracht Frankfurt,1668,78
3433,T. Werner,RB Leipzig,1886,78
3434,G. Rutter,Leeds United,1079,78
3435,C. Baumgartner,Hoffenheim,2519,78
3436,T. Müller,Bayern München,1509,78
3437,D. Malen,Borussia Dortmund,1559,78
3438,A. Adli,Bayer Leverkusen,1348,78
3439,F. Neuhaus,Borussia M'gladbach,1345,78
3440,S. Becker,Union Berlin,2380,78
3441,R. Doan,Freiburg,2264,78
3442,M. Svanberg,Wolfsburg,1847,78
3443,J. Hofmann,Borussia M'gladbach,2561,78
3444,M. Götze,Eintracht Frankfurt,2619,78
3445,V. Grifo,Freiburg,2230,78
3446,D. Lukébakio,Hertha BSC,2387,78
3447,P. Wimmer,Wolfsburg,1524,78
3448,D. Ljubičić,Köln,1593,78
3449,A. Pléa,Borussia M'gladbach,1866,78
3450,Silas,Stuttgart,1895,78
3451,J. Kamiński,Wolfsburg,1939,78
3452,E. Forsberg,RB Leipzig,1408,78
3453,A. Kramarić,Hoffenheim,2286,78
3454,R. Skov,Hoffenheim,1367,78
3455,F. Nmecha,Wolfsburg,1735,78
3456,C. Ejuke,Hertha BSC,919,78
3457,J. Dina Ebimbe,Eintracht Frankfurt,1096,78
3458,Tiago Tomás,Stuttgart,1234,78
3459,J. Haberer,Union Berlin,2062,78
3460,Y. Gerhardt,Wolfsburg,1782,78
3461,N. Amiri,Bayer Leverkusen,951,78
3462,M. Richter,Hertha BSC,1719,78
3463,R. Vargas,Augsburg,1159,78
3464,A. Maier,Augsburg,1940,78
3465,J. Vagnoman,Stuttgart,1356,78
3466,L. Maina,Köln,2108,78
3467,R. Schmid,Werder Bremen,1407,78
3468,Jae-Sung Lee,Mainz 05,1857,78
3469,C. Führich,Stuttgart,1870,78
3470,G. Holtmann,Bochum,976,78
