player,minutes,team,match,date
C. López,90,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
C. Villanueva,58,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
C. González,90,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
B. Vázquez,90,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
O. De La Cruz,90,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
É. Rivera,90,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
Á. Tecpanécatl,70,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
I. Acero,90,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
I. Márquez,58,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
A. Bravo,36,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
S. Martínez,58,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
A. Valadéz,54,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
J. Maleck,32,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
L. Márquez,32,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
L. Robles,32,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
J. Barraza,20,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
S. Mora-Mora,0,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
J. Ocon,0,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
A. Zamora,0,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
J. Mungaray,0,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
B. Gambarte,0,Tepatitlán,Clausura - 10,2023-03-10T01:00:00+00:00
G. Allison,90,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
L. López,90,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
R. Melgarejo,90,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
A. Domínguez,90,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
D. Aguilar,90,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
J. Celaya,87,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
D. Zamora,90,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
E. Del Ángel,90,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
A. Escoto,73,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
G. Acosta,64,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
R. Marín,87,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
C. Rodríguez,26,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
F. Vera,17,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
N. Topete,3,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
J. Zazueta,3,Celaya,Clausura - 10,2023-03-10T01:00:00+00:00
