ids,names
14883,Santos Laguna
14869,FC Juárez
14875,Cruz Azul
14878,Mazatlán
14884,Tigres UANL
14871,Querétaro
14880,Necaxa
14879,Monterrey
14885,Toluca
14877,León
14881,Pachuca
14868,América
14870,Pumas UNAM
14876,Guadalajara
14882,Puebla
14873,Atlas
14874,Atlético de San Luis
14872,Tijuana
