ids,names
2278,Guadalajara
2286,Pumas UNAM
2291,Puebla
2314,Atlético de San Luis
2280,Club Tijuana
2279,Tigres UANL
2298,Juárez
2287,América
14002,Mazatlán
2282,Monterrey
2283,Atlas
2289,León
2290,Querétaro
2281,Toluca
2288,Necaxa
2285,Santos Laguna
2292,Pachuca
2295,Cruz Azul
